iter	Logloss
0	0.5966583503
1	0.5332937305
2	0.5090960034
3	0.4750158656
4	0.4643253662
5	0.4504296659
6	0.4447733998
7	0.4409681402
8	0.4286433956
9	0.4213027278
10	0.4155052974
11	0.4136831361
12	0.4129890031
13	0.4077056848
14	0.4068550793
15	0.4016326364
16	0.3993234251
17	0.3985036855
18	0.3968678877
19	0.3948552882
20	0.3915969909
21	0.3896391087
22	0.3888015022
23	0.3870255107
24	0.385587195
25	0.3835129119
26	0.3825905548
27	0.3821474091
28	0.3811883368
29	0.3793866525
30	0.3792449496
31	0.3774320582
32	0.377033224
33	0.3732965861
34	0.3717625917
35	0.3714563488
36	0.3707490681
37	0.3693128673
38	0.369081612
39	0.3680587569
40	0.3657707112
41	0.3648206538
42	0.3634111794
43	0.3632212542
44	0.3617168366
45	0.360282343
46	0.3601060303
47	0.3586998002
48	0.3567741416
49	0.3564050868
50	0.3550285696
51	0.3539132785
52	0.3527553029
53	0.3518096615
54	0.3516700061
55	0.3510409257
56	0.3492238628
57	0.3479753033
58	0.3469668021
59	0.3468853249
60	0.3455332457
61	0.344300522
62	0.3436473212
63	0.3435824544
64	0.3423661001
65	0.3415886204
66	0.3407512215
67	0.3395234084
68	0.3375411537
69	0.3373505014
70	0.3360010136
71	0.3359521898
72	0.3342342118
73	0.3337278826
74	0.3326732272
75	0.3325970521
76	0.3316285733
77	0.3310836874
78	0.329968189
79	0.3299149501
80	0.3298499107
81	0.3291279912
82	0.3282817612
83	0.3262934394
84	0.3256451225
85	0.3245370881
86	0.323533083
87	0.3230635002
88	0.3223534943
89	0.3220428501
90	0.321798673
91	0.3208437922
92	0.3204713783
93	0.320293997
94	0.3194034609
95	0.3188780133
96	0.3180177273
97	0.3178610148
98	0.3172002619
99	0.3167801003
100	0.3163892115
101	0.3157040229
102	0.3147128673
103	0.3135561046
104	0.312944897
105	0.3125766562
106	0.312439685
107	0.311890308
108	0.3113348569
