iter	Passed	Remaining
0	57	6246
1	59	3196
2	61	2173
3	63	1668
4	65	1356
5	67	1153
6	69	1010
7	71	897
8	73	812
9	75	742
10	77	686
11	79	639
12	81	599
13	83	565
14	85	538
15	87	508
16	89	481
17	90	457
18	92	437
19	94	418
20	95	402
21	97	386
22	99	371
23	100	357
24	102	344
25	104	333
26	106	322
27	107	311
28	110	303
29	112	296
30	114	287
31	116	280
32	118	273
33	120	266
34	122	258
35	124	252
36	126	245
37	127	238
38	129	232
39	131	226
40	132	220
41	134	214
42	136	209
43	138	204
44	141	200
45	143	196
46	145	191
47	147	186
48	148	181
49	149	176
50	151	172
51	152	167
52	154	163
53	156	159
54	158	155
55	159	151
56	161	147
57	163	143
58	164	139
59	166	135
60	168	132
61	169	128
62	171	125
63	173	122
64	175	119
65	177	115
66	179	112
67	180	109
68	182	105
69	184	102
70	186	99
71	188	96
72	190	93
73	191	90
74	193	87
75	194	84
76	196	81
77	198	78
78	200	76
79	201	73
80	203	70
81	205	67
82	207	64
83	209	62
84	210	59
85	212	56
86	214	54
87	216	51
88	218	49
89	220	46
90	221	43
91	223	41
92	225	38
93	226	36
94	228	33
95	230	31
96	231	28
97	233	26
98	235	23
99	237	21
100	239	18
101	240	16
102	242	14
103	244	11
104	246	9
105	248	7
106	249	4
107	251	2
108	253	0
